name,label,type,fieldType
add___ons__clonada_,add + ons (Clonada),enumeration,checkbox
adecuacion_de_calificacion_de_negocio_por_etapa_de_pipeline_de_ventas,Adecuación de Calificación de negocio por etapa de pipeline de ventas,number,number
adecuacion_de_probalidad_de_exito_fit,Adecuación de Probalidad de exito,number,number
amount,Amount,number,number
amount_in_home_currency,Amount in company currency,number,calculation_equation
apertura_de_propuesta_digital_qwilr,Propuesta Enviada,enumeration,select
asistio_a_demo,Asistió a demo,enumeration,booleancheckbox
calificacion_de_negocio_por_etapa_de_pipeline_de_ventas,Calificación de negocio por etapa de pipeline de ventas,number,number
calificacion_de_probabilidad_de_cierre,Calificación de probabilidad de cierre,enumeration,select
canal_de_adquisicion,Canal de Adquisición,enumeration,radio
cantidad_de_proyectos,Cantidad de Proyectos,number,number
cantidad_de_usuarios,Cantidad de Usuarios,number,number
cartera_de_cliente,Cartera de cliente,enumeration,booleancheckbox
clasificacion_del_lead,Clasificación del lead,enumeration,radio
closed_lost_reason,Closed Lost Reason,string,textarea
closed_won_reason,Closed Won Reason,string,textarea
closedate,Close Date,datetime,date
condiciones_especiales,Condiciones Especiales,string,textarea
contactado,Contactado,enumeration,radio
cost_control,Cost control,string,textarea
createdate,Create Date,datetime,date
cs,CS,enumeration,select
cual_es_la_disposicion_de_inversion_en_un_software_,¿Cuanto quisiera invertir en un software?,string,text
cual_es_la_fecha_de_inicio_de_tus_proximos_proyectos_,¿Cual es la fecha de inicio de tus próximos proyectos?,string,text
cual_membresia_puede_interesarle_,¿Cuál membresía puede interesarle?,string,text
cuales_son_los_dolores_puntuales_que_le_gustaria_resolver_con_mawi_,¿Cuales son los dolores puntuales que le gustaria resolver con mawi?,string,text
cupos_mawi_learning,Cupos Mawi Learning ,number,number
customer_id,Customer ID,string,textarea
days_to_close,Days to close,number,calculation_equation
de_que_tamano_es_tu_empresa_,¿De que tamaño es tu empresa?,string,text
deal_currency_code,Currency,enumeration,select
dealname,Deal Name,string,text
dealstage,Deal Stage,enumeration,radio
dealtype,Deal Type,enumeration,radio
demo_realizada,Demo Realizada,enumeration,booleancheckbox
descripcion_churn,Descripción Churn,string,textarea
description,Deal Description,string,textarea
dolor_identificado,Dolor Identificado:,enumeration,radio
duracion_del_ciclo_de_venta,Duracion del ciclo de venta,enumeration,radio
duracion_estimada_del_proyecto,Duración estimada del proyecto,number,number
engagements_last_meeting_booked,Date of last meeting booked in meetings tool,datetime,date
engagements_last_meeting_booked_campaign,Campaign of last booking in meetings tool,string,text
engagements_last_meeting_booked_medium,Medium of last booking in meetings tool,string,text
engagements_last_meeting_booked_source,Source of last booking in meetings tool,string,text
entidad_federativa,Entidad / Provincia/Región,enumeration,select
es_tomador_de_decisiones,Es tomador de decisiones,enumeration,radio
es_tomador_de_decisiones_si_o_no_,¿Es tomador de decisiones si o no?,string,text
estado_del_proyecto,Estado del proyecto,enumeration,select
etapa_cierre_perdido,Etapa Cierre Perdido,enumeration,radio
expectativa_de_compra,Expectativa de Compra,enumeration,select
fecha_churn,fecha_churn,date,date
